,InvoiceMonth,Revenue,Orders,AOV
0,2009-12,686654.16,1512,454.1363492063492
1,2010-01,557319.062,1011,551.2552542037587
2,2010-02,506371.066,1104,458.6694438405797
3,2010-03,699608.991,1524,459.06101771653545
4,2010-04,594609.192,1329,447.4109796839729
5,2010-05,599985.79,1377,435.7195279593319
6,2010-06,639066.58,1497,426.8981830327321
7,2010-07,591636.74,1381,428.4118320057929
8,2010-08,604242.65,1293,467.31836813611756
9,2010-09,831615.001,1689,492.371226169331
10,2010-10,1036680.0,2133,486.0196905766526
11,2010-11,1172336.042,2587,453.1642991882489
12,2010-12,884591.89,1400,631.85135
13,2011-01,569445.04,987,576.9453292806485
14,2011-02,447137.35,997,448.4827983951855
15,2011-03,595500.76,1321,450.79542770628314
16,2011-04,469200.361,1149,408.3554055700609
17,2011-05,678594.56,1555,436.39521543408364
18,2011-06,661213.69,1393,474.6688370423546
19,2011-07,600091.011,1331,450.85725845229155
20,2011-08,645343.9,1280,504.174921875
21,2011-09,952838.382,1755,542.9278529914529
22,2011-10,1039318.79,1929,538.7863089683774
23,2011-11,1161817.3800000001,2657,437.26660895747085
24,2011-12,518210.79,778,666.080706940874
