,InvoiceMonth,TotalPrice
0,2009-12,686654.16
1,2010-01,557319.062
2,2010-02,506371.066
3,2010-03,699608.991
4,2010-04,594609.192
5,2010-05,599985.79
6,2010-06,639066.58
7,2010-07,591636.74
8,2010-08,604242.65
9,2010-09,831615.001
10,2010-10,1036680.0
11,2010-11,1172336.042
12,2010-12,884591.89
13,2011-01,569445.04
14,2011-02,447137.35
15,2011-03,595500.76
16,2011-04,469200.361
17,2011-05,678594.56
18,2011-06,661213.69
19,2011-07,600091.011
20,2011-08,645343.9
21,2011-09,952838.382
22,2011-10,1039318.79
23,2011-11,1161817.3800000001
24,2011-12,518210.79
